      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.231       83     ~    2    0    0
    0:00.636      229     +    0    0    0	(N
    0:00.975      351     N    0    0    0
    0:02.011      724     N    0    0    0
    0:03.017     1086     N    0    0    0
    0:04.022     1448     N    0    0    0
    0:05.081     1829     N    0    0    0
    0:06.103     2197     N    0    0    0
    0:07.142     2571     N    0    0    0
    0:08.106     2918     N    0    0    0
    0:08.983     3234     N    0    0    0
    0:09.919     3571     N    0    0    0
