'sample interval','V5','MLII'
'0.00277778 sec','mV','mV'
0,-0.045,0.015
1,-0.045,0.015
2,-0.045,0.015
3,-0.045,0.015
4,-0.045,0.015
5,-0.045,0.015
6,-0.045,0.015
7,-0.045,0.015
8,-0.045,0.015
9,-0.045,0.040
10,-0.010,0.065
11,0.000,0.070
12,-0.015,0.075
13,-0.025,0.080
14,-0.010,0.105
15,0.000,0.135
16,0.020,0.160
17,0.020,0.160
18,0.010,0.165
19,-0.005,0.170
20,0.000,0.205
21,-0.005,0.210
22,0.000,0.225
23,0.005,0.220
24,-0.010,0.210
25,-0.040,0.185
26,-0.045,0.190
27,-0.055,0.195
28,-0.045,0.195
29,-0.065,0.180
30,-0.075,0.145
31,-0.100,0.125
32,-0.110,0.115
33,-0.125,0.130
34,-0.105,0.125
35,-0.130,0.100
36,-0.145,0.075
37,-0.155,0.055
38,-0.175,0.060
39,-0.165,0.060
40,-0.165,0.060
41,-0.175,0.050
42,-0.180,0.020
43,-0.200,0.025
44,-0.225,0.020
45,-0.210,0.025
46,-0.205,0.040
47,-0.225,0.020
48,-0.220,0.015
49,-0.235,-0.005
50,-0.235,0.000
51,-0.225,0.015
52,-0.230,0.025
53,-0.215,0.020
54,-0.215,0.015
55,-0.255,-0.005
56,-0.245,0.000
57,-0.240,0.005
58,-0.240,0.015
59,-0.235,0.005
60,-0.245,0.000
61,-0.260,-0.005
62,-0.245,0.000
63,-0.245,0.010
64,-0.230,0.020
65,-0.230,-0.010
66,-0.230,-0.020
67,-0.245,-0.020
68,-0.250,-0.030
69,-0.235,0.000
70,-0.230,0.010
71,-0.235,-0.010
72,-0.235,-0.020
73,-0.260,-0.035
74,-0.270,-0.025
75,-0.255,-0.025
76,-0.230,-0.005
77,-0.235,-0.010
78,-0.230,-0.025
79,-0.255,-0.040
80,-0.255,-0.030
81,-0.255,-0.015
82,-0.240,-0.025
83,-0.235,-0.020
84,-0.250,-0.040
85,-0.260,-0.040
86,-0.260,-0.035
87,-0.260,-0.025
88,-0.240,-0.015
89,-0.225,-0.030
90,-0.235,-0.040
91,-0.255,-0.045
92,-0.255,-0.025
93,-0.245,-0.020
94,-0.225,-0.005
95,-0.235,-0.010
96,-0.235,-0.025
97,-0.250,-0.035
98,-0.260,-0.020
99,-0.240,-0.005
100,-0.215,-0.005
101,-0.220,-0.010
102,-0.235,-0.015
103,-0.245,-0.020
104,-0.235,-0.015
105,-0.235,0.000
106,-0.230,0.005
107,-0.225,-0.005
108,-0.230,-0.015
109,-0.245,-0.015
110,-0.255,-0.015
111,-0.250,0.010
112,-0.225,0.005
113,-0.230,0.000
114,-0.245,-0.025
115,-0.265,-0.020
116,-0.255,-0.015
117,-0.250,0.000
118,-0.245,0.005
119,-0.230,0.000
120,-0.240,-0.015
121,-0.270,-0.020
122,-0.270,-0.030
123,-0.250,0.000
124,-0.240,0.010
125,-0.245,0.000
126,-0.255,-0.015
127,-0.275,-0.020
128,-0.270,-0.025
129,-0.285,-0.010
130,-0.265,0.005
131,-0.255,0.000
132,-0.270,-0.015
133,-0.285,-0.020
134,-0.285,-0.020
135,-0.275,-0.005
136,-0.265,-0.005
137,-0.280,-0.015
138,-0.270,-0.025
139,-0.285,-0.035
140,-0.290,-0.015
141,-0.285,-0.015
142,-0.265,-0.010
143,-0.270,-0.015
144,-0.270,-0.020
145,-0.285,-0.030
146,-0.285,-0.040
147,-0.275,-0.030
148,-0.265,-0.020
149,-0.270,-0.020
150,-0.290,-0.030
151,-0.285,-0.040
152,-0.300,-0.030
153,-0.285,-0.025
154,-0.275,-0.020
155,-0.265,-0.030
156,-0.275,-0.035
157,-0.295,-0.035
158,-0.290,-0.035
159,-0.275,-0.030
160,-0.270,-0.015
161,-0.270,-0.025
162,-0.285,-0.040
163,-0.295,-0.055
164,-0.295,-0.030
165,-0.285,-0.030
166,-0.285,-0.015
167,-0.280,-0.030
168,-0.285,-0.045
169,-0.295,-0.045
170,-0.310,-0.040
171,-0.290,-0.040
172,-0.275,-0.015
173,-0.265,-0.030
174,-0.285,-0.040
175,-0.300,-0.045
176,-0.290,-0.030
177,-0.290,-0.020
178,-0.280,-0.015
179,-0.275,-0.030
180,-0.285,-0.045
181,-0.295,-0.045
182,-0.285,-0.030
183,-0.285,-0.035
184,-0.285,-0.025
185,-0.285,-0.035
186,-0.285,-0.030
187,-0.290,-0.055
188,-0.295,-0.040
189,-0.295,-0.025
190,-0.270,-0.015
191,-0.265,-0.015
192,-0.275,-0.030
193,-0.285,-0.045
194,-0.295,-0.040
195,-0.280,-0.030
196,-0.270,-0.025
197,-0.265,-0.030
198,-0.270,-0.035
199,-0.285,-0.050
200,-0.285,-0.055
201,-0.270,-0.040
202,-0.260,-0.020
203,-0.265,-0.025
204,-0.265,-0.040
205,-0.305,-0.050
206,-0.295,-0.030
207,-0.270,-0.020
208,-0.270,-0.015
209,-0.265,-0.015
210,-0.275,-0.050
211,-0.290,-0.050
212,-0.295,-0.025
213,-0.280,-0.015
214,-0.265,-0.010
215,-0.260,-0.020
216,-0.265,-0.030
217,-0.295,-0.030
218,-0.290,-0.030
219,-0.285,-0.020
220,-0.280,0.000
221,-0.245,-0.010
222,-0.270,-0.025
223,-0.265,-0.040
224,-0.270,-0.015
225,-0.255,-0.010
226,-0.240,0.005
227,-0.225,0.010
228,-0.235,0.005
229,-0.245,0.000
230,-0.240,0.010
231,-0.225,0.035
232,-0.195,0.035
233,-0.195,0.020
234,-0.195,0.025
235,-0.205,0.010
236,-0.205,0.035
237,-0.200,0.045
238,-0.180,0.055
239,-0.200,0.050
240,-0.220,0.025
241,-0.230,0.020
242,-0.230,0.020
243,-0.230,0.015
244,-0.235,0.025
245,-0.240,0.015
246,-0.245,0.005
247,-0.255,-0.005
248,-0.260,0.015
249,-0.245,0.030
250,-0.230,0.030
251,-0.240,0.035
252,-0.245,0.030
253,-0.265,0.025
254,-0.240,0.035
255,-0.225,0.055
256,-0.225,0.060
257,-0.220,0.030
258,-0.225,0.005
259,-0.260,-0.005
260,-0.265,-0.005
261,-0.280,0.005
262,-0.275,0.020
263,-0.285,0.005
264,-0.300,-0.005
265,-0.290,-0.005
266,-0.290,-0.015
267,-0.280,-0.005
268,-0.260,0.005
269,-0.260,-0.005
270,-0.300,-0.020
271,-0.295,-0.020
272,-0.305,-0.015
273,-0.295,-0.005
274,-0.285,0.000
275,-0.275,-0.015
276,-0.295,-0.025
277,-0.310,-0.030
278,-0.305,-0.015
279,-0.285,-0.005
280,-0.275,0.005
281,-0.285,-0.005
282,-0.290,-0.025
283,-0.290,-0.030
284,-0.315,-0.015
285,-0.290,-0.010
286,-0.280,0.005
287,-0.270,0.000
288,-0.290,-0.005
289,-0.295,-0.020
290,-0.300,-0.005
291,-0.295,0.015
292,-0.280,0.025
293,-0.280,0.025
294,-0.275,0.020
295,-0.295,0.030
296,-0.290,0.065
297,-0.255,0.110
298,-0.240,0.140
299,-0.215,0.190
300,-0.195,0.235
301,-0.175,0.285
302,-0.165,0.355
303,-0.175,0.485
304,-0.235,0.635
305,-0.305,0.800
306,-0.350,0.965
307,-0.405,1.125
308,-0.485,1.325
309,-0.540,1.535
310,-0.545,1.760
311,-0.470,1.980
312,-0.340,2.050
313,-0.180,1.880
314,-0.060,1.400
315,-0.045,0.770
316,-0.215,0.280
317,-0.515,0.010
318,-0.725,-0.070
319,-0.770,-0.055
320,-0.690,-0.025
321,-0.530,-0.005
322,-0.385,0.000
323,-0.305,-0.005
324,-0.290,-0.040
325,-0.285,-0.065
326,-0.275,-0.075
327,-0.270,-0.060
328,-0.245,-0.070
329,-0.250,-0.070
330,-0.250,-0.090
331,-0.245,-0.110
332,-0.235,-0.095
333,-0.225,-0.090
334,-0.200,-0.075
335,-0.210,-0.080
336,-0.200,-0.095
337,-0.220,-0.105
338,-0.215,-0.080
339,-0.210,-0.090
340,-0.190,-0.085
341,-0.190,-0.090
342,-0.190,-0.105
343,-0.205,-0.105
344,-0.205,-0.105
345,-0.200,-0.090
346,-0.175,-0.085
347,-0.175,-0.100
348,-0.185,-0.125
349,-0.205,-0.135
350,-0.200,-0.115
351,-0.190,-0.110
352,-0.165,-0.095
353,-0.170,-0.120
354,-0.180,-0.145
355,-0.195,-0.125
356,-0.195,-0.120
357,-0.180,-0.125
358,-0.180,-0.105
359,-0.170,-0.115
360,-0.175,-0.135
361,-0.185,-0.145
362,-0.180,-0.125
363,-0.170,-0.125
364,-0.160,-0.115
365,-0.160,-0.115
366,-0.185,-0.130
367,-0.170,-0.130
368,-0.180,-0.120
369,-0.165,-0.125
370,-0.140,-0.110
371,-0.130,-0.115
372,-0.125,-0.125
373,-0.140,-0.125
374,-0.145,-0.105
375,-0.135,-0.105
376,-0.130,-0.095
377,-0.115,-0.105
378,-0.125,-0.125
379,-0.120,-0.115
380,-0.120,-0.110
381,-0.120,-0.095
382,-0.110,-0.085
383,-0.095,-0.085
384,-0.100,-0.105
385,-0.105,-0.100
386,-0.110,-0.095
387,-0.100,-0.060
388,-0.075,-0.060
389,-0.075,-0.055
390,-0.085,-0.060
391,-0.070,-0.070
392,-0.080,-0.040
393,-0.060,-0.025
394,-0.040,-0.005
395,-0.030,0.000
396,-0.035,-0.005
397,-0.040,0.005
398,-0.030,0.030
399,-0.010,0.055
400,-0.005,0.095
401,0.005,0.090
402,0.005,0.095
403,-0.005,0.100
404,-0.005,0.130
405,0.010,0.160
406,0.025,0.190
407,0.025,0.190
408,0.000,0.180
409,-0.010,0.185
410,-0.010,0.205
411,-0.020,0.230
412,0.010,0.240
413,0.010,0.235
414,-0.010,0.220
415,-0.030,0.215
416,-0.035,0.215
417,-0.040,0.215
418,-0.035,0.225
419,-0.055,0.210
420,-0.065,0.180
421,-0.080,0.155
422,-0.100,0.160
423,-0.095,0.160
424,-0.095,0.155
425,-0.115,0.135
426,-0.130,0.110
427,-0.150,0.095
428,-0.165,0.090
429,-0.165,0.100
430,-0.165,0.090
431,-0.180,0.075
432,-0.180,0.065
433,-0.210,0.040
434,-0.200,0.055
435,-0.200,0.060
436,-0.190,0.070
437,-0.195,0.050
438,-0.215,0.035
439,-0.220,0.025
440,-0.220,0.040
441,-0.215,0.045
442,-0.210,0.045
443,-0.215,0.035
444,-0.225,0.020
445,-0.230,0.015
446,-0.250,0.015
447,-0.235,0.030
448,-0.220,0.050
449,-0.225,0.030
450,-0.235,0.020
451,-0.245,0.010
452,-0.245,0.025
453,-0.240,0.035
454,-0.225,0.025
455,-0.220,0.015
456,-0.245,0.015
457,-0.265,0.000
458,-0.245,0.015
459,-0.245,0.015
460,-0.235,0.020
461,-0.235,0.010
462,-0.240,-0.005
463,-0.265,-0.005
464,-0.265,-0.005
