'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,-0.500,0.050
1,-0.500,0.050
2,-0.500,0.050
3,-0.500,0.050
4,-0.500,0.050
5,-0.500,0.050
6,-0.500,0.050
7,-0.500,0.050
8,-0.460,0.050
9,-0.400,0.040
10,-0.340,0.020
11,-0.290,-0.005
12,-0.275,-0.050
13,-0.280,-0.095
14,-0.280,-0.100
15,-0.285,-0.100
16,-0.265,-0.080
17,-0.240,-0.085
18,-0.215,-0.105
19,-0.210,-0.145
20,-0.205,-0.185
21,-0.195,-0.175
22,-0.185,-0.155
23,-0.175,-0.150
24,-0.170,-0.155
25,-0.185,-0.180
26,-0.185,-0.175
27,-0.170,-0.190
28,-0.145,-0.200
29,-0.120,-0.210
30,-0.095,-0.230
31,-0.100,-0.260
32,-0.125,-0.280
33,-0.115,-0.290
34,-0.110,-0.270
35,-0.070,-0.260
36,-0.055,-0.295
37,-0.050,-0.320
38,-0.060,-0.380
39,-0.050,-0.400
40,-0.020,-0.415
41,0.000,-0.415
42,0.015,-0.440
43,0.025,-0.470
44,0.025,-0.485
45,0.050,-0.505
46,0.090,-0.515
47,0.110,-0.525
48,0.140,-0.560
49,0.145,-0.575
50,0.150,-0.590
51,0.140,-0.605
52,0.140,-0.600
53,0.180,-0.570
54,0.210,-0.595
55,0.225,-0.615
56,0.235,-0.610
57,0.245,-0.605
58,0.250,-0.570
59,0.275,-0.545
60,0.275,-0.520
61,0.260,-0.530
62,0.230,-0.485
63,0.230,-0.460
64,0.205,-0.420
65,0.220,-0.385
66,0.215,-0.360
67,0.175,-0.340
68,0.140,-0.320
69,0.110,-0.275
70,0.090,-0.240
71,0.080,-0.185
72,0.060,-0.160
73,0.035,-0.155
74,0.000,-0.135
75,-0.030,-0.105
76,-0.040,-0.085
77,-0.060,-0.035
78,-0.080,-0.020
79,-0.115,-0.010
80,-0.150,0.010
81,-0.180,0.020
82,-0.190,0.060
83,-0.190,0.085
84,-0.190,0.080
85,-0.220,0.065
86,-0.240,0.050
87,-0.265,0.050
88,-0.280,0.095
89,-0.265,0.130
90,-0.265,0.115
91,-0.270,0.095
92,-0.290,0.085
93,-0.300,0.085
94,-0.310,0.090
95,-0.295,0.100
96,-0.295,0.105
97,-0.305,0.110
98,-0.315,0.105
99,-0.325,0.120
100,-0.305,0.135
101,-0.280,0.125
102,-0.280,0.105
103,-0.280,0.095
104,-0.300,0.080
105,-0.305,0.090
106,-0.310,0.110
107,-0.290,0.135
108,-0.275,0.135
109,-0.280,0.115
110,-0.285,0.100
111,-0.265,0.090
112,-0.260,0.110
113,-0.235,0.110
114,-0.245,0.095
115,-0.260,0.090
116,-0.270,0.090
117,-0.290,0.115
118,-0.270,0.115
119,-0.235,0.115
120,-0.215,0.095
121,-0.220,0.080
122,-0.240,0.070
123,-0.250,0.085
124,-0.250,0.095
125,-0.245,0.120
126,-0.230,0.120
127,-0.230,0.095
128,-0.230,0.085
129,-0.235,0.080
130,-0.220,0.090
131,-0.215,0.090
132,-0.215,0.080
133,-0.225,0.080
134,-0.245,0.075
135,-0.250,0.080
136,-0.240,0.095
137,-0.220,0.105
138,-0.215,0.090
139,-0.225,0.070
140,-0.240,0.055
141,-0.255,0.070
142,-0.235,0.090
143,-0.230,0.115
144,-0.225,0.105
145,-0.240,0.095
146,-0.240,0.080
147,-0.245,0.070
148,-0.230,0.075
149,-0.225,0.090
150,-0.215,0.105
151,-0.225,0.120
152,-0.245,0.110
153,-0.225,0.130
154,-0.190,0.135
155,-0.150,0.165
156,-0.125,0.150
157,-0.110,0.110
158,-0.120,0.100
159,-0.110,0.075
160,-0.085,0.105
161,-0.065,0.095
162,-0.030,0.090
163,-0.005,0.050
164,0.010,0.035
165,0.010,0.030
166,0.025,0.050
167,0.040,0.070
168,0.035,0.080
169,0.025,0.075
170,0.020,0.065
171,0.015,0.065
172,0.020,0.070
173,0.010,0.075
174,-0.025,0.060
175,-0.075,0.035
176,-0.130,0.040
177,-0.165,0.045
178,-0.180,0.075
179,-0.175,0.080
180,-0.190,0.070
181,-0.210,0.055
182,-0.225,0.025
183,-0.240,0.015
184,-0.230,0.040
185,-0.230,0.065
186,-0.250,0.070
187,-0.265,0.075
188,-0.280,0.060
189,-0.275,0.055
190,-0.270,0.060
191,-0.260,0.060
192,-0.245,0.065
193,-0.270,0.040
194,-0.285,0.040
195,-0.290,0.055
196,-0.290,0.095
197,-0.270,0.105
198,-0.250,0.085
199,-0.250,0.065
200,-0.255,0.045
201,-0.255,0.055
202,-0.245,0.090
203,-0.220,0.130
204,-0.205,0.145
205,-0.185,0.090
206,-0.165,0.015
207,-0.095,-0.010
208,0.015,-0.030
209,0.205,-0.040
210,0.425,-0.030
211,0.655,0.025
212,0.915,0.170
213,1.135,0.420
214,1.295,0.640
215,1.315,0.805
216,1.130,0.895
217,0.740,0.890
218,0.275,0.845
219,-0.165,0.835
220,-0.470,0.850
221,-0.605,0.930
222,-0.610,1.010
223,-0.590,1.080
224,-0.575,1.135
225,-0.600,1.195
226,-0.615,1.245
227,-0.645,1.290
228,-0.690,1.320
229,-0.725,1.380
230,-0.755,1.435
231,-0.755,1.505
232,-0.730,1.550
233,-0.715,1.555
234,-0.705,1.505
235,-0.725,1.385
236,-0.750,1.230
237,-0.745,1.060
238,-0.715,0.905
239,-0.650,0.735
240,-0.600,0.570
241,-0.550,0.405
242,-0.505,0.255
243,-0.450,0.165
244,-0.365,0.110
245,-0.280,0.075
246,-0.235,0.030
247,-0.195,-0.010
248,-0.185,-0.025
249,-0.170,-0.030
250,-0.155,-0.040
251,-0.140,-0.030
252,-0.125,-0.060
253,-0.105,-0.090
254,-0.105,-0.130
255,-0.095,-0.135
256,-0.085,-0.135
257,-0.070,-0.125
258,-0.065,-0.125
259,-0.075,-0.135
260,-0.070,-0.170
261,-0.070,-0.175
262,-0.040,-0.190
263,-0.020,-0.185
264,-0.025,-0.210
265,-0.025,-0.235
266,-0.045,-0.250
267,-0.035,-0.255
268,-0.010,-0.225
269,0.015,-0.230
270,0.030,-0.245
271,0.020,-0.280
272,0.030,-0.310
273,0.030,-0.310
274,0.050,-0.295
275,0.065,-0.305
276,0.070,-0.315
277,0.075,-0.340
278,0.085,-0.390
279,0.090,-0.415
280,0.130,-0.420
281,0.160,-0.450
282,0.185,-0.470
283,0.190,-0.510
284,0.185,-0.525
285,0.185,-0.530
286,0.220,-0.525
287,0.250,-0.535
288,0.280,-0.570
289,0.270,-0.590
290,0.285,-0.620
291,0.295,-0.620
292,0.320,-0.610
293,0.355,-0.580
294,0.365,-0.585
295,0.370,-0.580
296,0.360,-0.580
297,0.365,-0.565
298,0.395,-0.520
299,0.395,-0.500
300,0.395,-0.500
301,0.355,-0.475
302,0.325,-0.450
303,0.305,-0.395
304,0.290,-0.345
305,0.285,-0.310
306,0.270,-0.285
307,0.230,-0.265
308,0.185,-0.245
309,0.155,-0.210
310,0.120,-0.150
311,0.100,-0.085
312,0.080,-0.070
313,0.050,-0.050
314,0.020,-0.055
315,0.000,-0.045
316,-0.025,-0.020
317,-0.010,-0.005
318,-0.020,0.020
319,-0.055,0.020
320,-0.080,0.035
321,-0.090,0.055
322,-0.100,0.070
323,-0.110,0.080
324,-0.115,0.065
325,-0.120,0.040
326,-0.140,0.035
327,-0.170,0.035
328,-0.170,0.085
329,-0.160,0.095
330,-0.165,0.105
331,-0.190,0.095
332,-0.205,0.075
333,-0.195,0.075
334,-0.175,0.075
335,-0.160,0.090
336,-0.160,0.085
337,-0.190,0.085
338,-0.200,0.075
339,-0.190,0.100
340,-0.180,0.105
341,-0.160,0.095
342,-0.150,0.085
343,-0.170,0.070
344,-0.175,0.065
345,-0.190,0.070
346,-0.175,0.105
347,-0.150,0.135
348,-0.140,0.115
349,-0.140,0.075
350,-0.145,0.040
351,-0.145,0.050
352,-0.145,0.080
353,-0.135,0.080
354,-0.135,0.090
355,-0.145,0.075
356,-0.150,0.055
357,-0.150,0.055
358,-0.135,0.060
359,-0.125,0.070
360,-0.105,0.055
361,-0.125,0.060
362,-0.160,0.060
363,-0.165,0.055
364,-0.145,0.080
365,-0.125,0.070
366,-0.120,0.065
367,-0.125,0.060
368,-0.150,0.020
369,-0.145,0.045
370,-0.155,0.065
371,-0.135,0.085
372,-0.150,0.090
373,-0.140,0.055
374,-0.145,0.055
375,-0.145,0.050
376,-0.135,0.060
377,-0.125,0.070
378,-0.130,0.080
379,-0.140,0.065
380,-0.155,0.065
381,-0.165,0.065
382,-0.155,0.075
383,-0.135,0.075
384,-0.120,0.065
385,-0.120,0.050
386,-0.140,0.060
387,-0.155,0.090
388,-0.145,0.110
389,-0.135,0.135
390,-0.110,0.125
391,-0.100,0.115
392,-0.095,0.110
393,-0.095,0.120
394,-0.060,0.145
395,-0.030,0.165
396,-0.015,0.165
397,0.000,0.140
398,0.010,0.110
399,0.020,0.075
400,0.050,0.085
401,0.095,0.065
402,0.105,0.055
403,0.120,0.045
404,0.130,0.050
405,0.135,0.065
406,0.135,0.080
407,0.145,0.085
408,0.160,0.075
409,0.170,0.070
410,0.135,0.050
411,0.115,0.065
412,0.075,0.090
413,0.040,0.105
414,0.005,0.095
415,-0.030,0.060
416,-0.065,0.040
417,-0.080,0.030
418,-0.105,0.055
419,-0.085,0.060
420,-0.125,0.085
421,-0.145,0.075
422,-0.135,0.075
423,-0.145,0.060
424,-0.135,0.070
425,-0.150,0.070
426,-0.135,0.075
427,-0.145,0.065
428,-0.160,0.065
429,-0.180,0.080
430,-0.170,0.095
431,-0.160,0.090
432,-0.135,0.075
433,-0.150,0.050
434,-0.160,0.045
435,-0.165,0.060
436,-0.160,0.065
437,-0.135,0.110
438,-0.135,0.105
439,-0.135,0.100
440,-0.125,0.100
441,-0.135,0.110
442,-0.105,0.100
443,-0.050,0.025
444,0.005,-0.015
445,0.085,-0.065
446,0.180,-0.040
447,0.360,-0.015
448,0.610,0.045
449,0.875,0.185
450,1.120,0.375
451,1.305,0.555
452,1.350,0.715
453,1.240,0.855
454,0.930,0.915
455,0.500,0.915
456,0.080,0.865
457,-0.270,0.870
458,-0.420,0.875
459,-0.435,0.955
460,-0.385,1.050
461,-0.370,1.140
462,-0.400,1.200
463,-0.465,1.250
464,-0.515,1.290
465,-0.555,1.335
466,-0.570,1.410
467,-0.555,1.475
468,-0.535,1.515
469,-0.555,1.545
470,-0.585,1.545
471,-0.595,1.520
472,-0.605,1.465
473,-0.615,1.365
474,-0.605,1.220
475,-0.585,1.040
476,-0.560,0.855
477,-0.520,0.670
478,-0.470,0.515
479,-0.410,0.380
480,-0.355,0.255
481,-0.320,0.170
482,-0.275,0.110
483,-0.230,0.105
484,-0.155,0.100
485,-0.105,0.080
486,-0.060,0.030
487,-0.060,-0.010
488,-0.055,-0.055
489,-0.050,-0.070
490,-0.035,-0.055
491,0.000,-0.045
492,0.015,-0.055
493,0.020,-0.090
494,0.025,-0.115
495,0.020,-0.135
496,0.025,-0.135
497,0.045,-0.135
498,0.060,-0.140
499,0.035,-0.160
500,0.010,-0.180
501,0.025,-0.170
502,0.055,-0.160
503,0.070,-0.175
504,0.080,-0.200
505,0.090,-0.230
506,0.085,-0.245
507,0.065,-0.260
508,0.085,-0.245
509,0.105,-0.240
510,0.105,-0.245
511,0.095,-0.285
512,0.115,-0.320
513,0.125,-0.350
514,0.145,-0.345
515,0.180,-0.375
516,0.190,-0.395
517,0.200,-0.410
518,0.175,-0.430
519,0.195,-0.440
520,0.215,-0.455
521,0.230,-0.465
522,0.250,-0.505
523,0.260,-0.540
524,0.250,-0.580
525,0.275,-0.585
526,0.285,-0.575
527,0.320,-0.560
528,0.325,-0.585
529,0.335,-0.600
530,0.340,-0.625
531,0.350,-0.625
532,0.375,-0.610
533,0.400,-0.600
534,0.405,-0.595
535,0.395,-0.590
536,0.380,-0.570
537,0.370,-0.525
538,0.385,-0.485
539,0.395,-0.470
540,0.390,-0.445
541,0.375,-0.430
542,0.335,-0.445
543,0.320,-0.405
544,0.305,-0.360
545,0.295,-0.305
546,0.290,-0.255
547,0.250,-0.235
548,0.235,-0.220
549,0.210,-0.195
550,0.195,-0.160
551,0.185,-0.135
552,0.170,-0.105
553,0.130,-0.090
554,0.075,-0.065
555,0.065,-0.030
556,0.050,0.010
557,0.050,0.025
558,0.045,0.030
559,0.025,0.005
560,0.000,-0.005
561,-0.025,0.005
562,-0.035,0.055
563,-0.045,0.090
564,-0.045,0.085
565,-0.065,0.080
566,-0.080,0.065
567,-0.095,0.070
568,-0.085,0.090
569,-0.080,0.095
570,-0.085,0.085
571,-0.095,0.070
572,-0.120,0.075
573,-0.125,0.095
574,-0.100,0.100
575,-0.100,0.120
576,-0.090,0.100
577,-0.095,0.070
578,-0.110,0.050
579,-0.115,0.075
580,-0.110,0.095
581,-0.095,0.115
582,-0.095,0.125
583,-0.105,0.095
584,-0.110,0.055
585,-0.110,0.065
586,-0.090,0.070
587,-0.075,0.085
588,-0.085,0.080
589,-0.100,0.070
590,-0.135,0.075
591,-0.105,0.085
592,-0.085,0.110
593,-0.085,0.105
594,-0.075,0.060
595,-0.070,0.055
596,-0.095,0.060
597,-0.105,0.065
598,-0.090,0.090
599,-0.075,0.110
600,-0.065,0.100
601,-0.070,0.085
602,-0.085,0.050
603,-0.110,0.045
604,-0.110,0.075
605,-0.095,0.095
606,-0.070,0.085
607,-0.080,0.095
608,-0.100,0.065
609,-0.100,0.080
610,-0.100,0.085
611,-0.080,0.090
612,-0.080,0.080
613,-0.100,0.055
614,-0.120,0.065
615,-0.130,0.075
616,-0.115,0.105
617,-0.105,0.130
618,-0.100,0.100
619,-0.115,0.055
620,-0.145,0.045
621,-0.120,0.060
622,-0.105,0.075
623,-0.095,0.100
624,-0.100,0.100
